Date,Dividends
1962-02-06,0.001
1962-05-08,0.001
1962-08-07,0.001
1962-11-05,0.001
1963-02-05,0.00133
1963-05-07,0.00133
1963-08-06,0.00133
1963-11-04,0.00167
1964-02-04,0.00167
1964-05-18,0.0
1964-05-25,0.00208
1964-08-04,0.00208
1964-11-02,0.00208
1965-02-02,0.0025
1965-05-04,0.0025
1965-08-03,0.0025
1965-11-01,0.0025
1966-02-08,0.0025
1966-05-18,0.0
1966-05-24,0.00275
1966-08-09,0.00275
1966-11-03,0.00275
1967-02-06,0.00275
1967-05-01,0.00275
1967-08-07,0.00275
1967-11-03,0.0275
1968-02-05,0.0325
1968-04-23,0.0
1968-05-03,0.0325
1968-08-02,0.0325
1969-02-06,0.04
1969-05-02,0.04
1969-08-01,0.05
1969-11-06,0.05
1970-05-01,0.06
1970-07-31,0.06
1970-10-30,0.06
1971-02-05,0.065
1971-05-07,0.065
1971-08-06,0.065
1971-11-05,0.065
1972-02-03,0.0675
1972-05-04,0.0675
1972-08-03,0.0675
1972-11-08,0.0675
1973-02-07,0.07
1973-05-04,0.07
1973-05-29,0.0
1973-08-08,0.07
1973-11-08,0.07
1974-02-06,0.08
1974-05-08,0.08
1974-08-08,0.09375
1974-11-06,0.09375
1975-02-06,0.09375
1975-05-08,0.09375
1975-08-07,0.10938
1975-11-05,0.10938
1976-02-05,0.10938
1976-05-06,0.10938
1976-08-05,0.14063
1976-11-04,0.14063
1977-02-03,0.15625
1977-05-05,0.15625
1977-08-04,0.15625
1977-11-02,0.15625
1978-02-03,0.18
1978-05-04,0.18
1978-08-03,0.18
1978-11-01,0.18
1979-02-07,0.215
1979-05-04,0.215
1979-06-01,0.0
1979-08-08,0.215
1979-11-07,0.215
1980-02-06,0.215
1980-05-08,0.215
1980-08-07,0.215
1980-11-05,0.215
1981-02-05,0.215
1981-05-07,0.215
1981-08-06,0.215
1981-11-04,0.215
1982-02-04,0.215
1982-05-06,0.215
1982-08-05,0.215
1982-11-04,0.215
1983-02-03,0.215
1983-05-05,0.2375
1983-08-04,0.2375
1983-11-02,0.2375
1984-02-03,0.2375
1984-05-04,0.2375
1984-08-08,0.275
1984-10-31,0.275
1985-02-06,0.275
1985-05-03,0.275
1985-08-08,0.275
1985-11-06,0.275
1986-02-07,1.1
1986-05-08,1.1
1986-08-07,1.1
1986-11-05,1.1
1987-02-05,1.1
1987-05-07,1.1
1987-08-06,1.1
1987-11-05,1.1
1988-02-04,1.1
1988-05-05,1.1
1988-08-04,1.1
1988-11-04,1.1
1989-02-02,1.1
1989-05-04,1.21
1989-08-03,1.21
1989-11-02,1.21
1990-02-05,1.21
1990-05-04,1.21
1990-08-06,1.21
1990-11-05,1.21
1991-02-04,1.21
1991-05-06,1.21
1991-08-06,1.21
1991-11-04,1.21
1992-02-06,1.21
1992-05-07,1.21
1992-08-06,1.21
1992-11-05,1.21
1993-02-04,0.54
1993-05-06,0.54
1993-08-05,0.25
1993-11-04,0.25
1994-02-04,0.25
1994-05-05,0.25
1994-08-04,0.25
1994-11-04,0.25
1995-02-06,0.25
1995-05-04,0.25
1995-08-08,0.25
1995-11-08,0.25
1996-02-07,0.25
1996-05-08,0.35
1996-08-07,0.35
1996-11-06,0.35
1997-02-06,0.35
1997-05-07,0.4
1997-05-28,0.0
1997-08-07,0.2
1997-11-06,0.2
1998-02-06,0.2
1998-05-06,0.22
1998-08-06,0.22
1998-11-06,0.22
1999-02-08,0.22
1999-05-06,0.24
1999-05-27,0.0
1999-08-06,0.12
1999-11-08,0.12
2000-02-08,0.12
2000-05-08,0.13
2000-08-08,0.13
2000-11-08,0.13
2001-02-07,0.13
2001-05-08,0.14
2001-08-08,0.14
2001-11-07,0.14
2002-02-06,0.14
2002-05-08,0.15
2002-08-07,0.15
2002-11-06,0.15
2003-02-06,0.15
2003-05-07,0.16
2003-08-06,0.16
2003-11-06,0.16
2004-02-06,0.16
2004-05-06,0.18
2004-08-06,0.18
2004-11-08,0.18
2005-02-08,0.18
2005-05-06,0.2
2005-08-08,0.2
2005-11-08,0.2
2006-02-08,0.2
2006-05-08,0.3
2006-08-08,0.3
2006-11-08,0.3
2007-02-07,0.3
2007-05-08,0.4
2007-08-08,0.4
2007-11-07,0.4
2008-02-06,0.4
2008-05-07,0.5
2008-08-06,0.5
2008-11-06,0.5
2009-02-06,0.5
2009-05-06,0.55
2009-08-06,0.55
2009-11-06,0.55
2010-02-08,0.55
2010-05-06,0.65
2010-08-06,0.65
2010-11-08,0.65
2011-02-08,0.65
2011-05-06,0.75
2011-08-08,0.75
2011-11-08,0.75
2012-02-08,0.75
2012-05-08,0.85
2012-08-08,0.85
2012-11-07,0.85
2013-02-06,0.85
2013-05-08,0.95
2013-08-07,0.95
2013-11-06,0.95
2014-02-06,0.95
2014-05-07,1.1
2014-08-06,1.1
2014-11-06,1.1
2015-02-06,1.1
2015-05-06,1.3
2015-05-07,1.3
2015-08-06,1.3
2015-11-06,1.3
2016-02-08,1.3
2016-05-06,1.4
2016-05-09,1.4
2016-08-08,1.4
2016-11-08,1.4
2017-02-08,1.4
2017-05-08,1.5
2017-08-08,1.5
2017-11-09,1.5
2018-02-08,1.5
2018-05-09,1.57
2018-08-09,1.57
2018-11-08,1.57
2019-02-07,1.57
2019-05-09,1.62
2019-08-08,1.62
2019-11-07,1.62
2020-02-07,1.62
2020-05-07,1.63
