Date,Dividends
1993-09-30,0.0
1995-12-04,0.0
1999-03-22,0.0
2001-04-30,0.0
2005-10-24,0.0
2010-04-05,0.05
2010-08-02,0.065
2010-11-16,0.065
2011-02-07,0.065
2011-05-09,0.065
2011-08-08,0.065
2011-11-15,0.085
2012-02-06,0.085
2012-05-07,0.085
2012-08-06,0.085
2012-11-13,0.105
2013-02-05,0.105
2013-05-07,0.105
2013-08-06,0.105
2013-11-12,0.13
2014-02-04,0.13
2014-05-06,0.13
2014-08-05,0.13
2014-11-10,0.16
2015-02-03,0.16
2015-04-09,0.0
2015-05-05,0.16
2015-08-04,0.16
2015-11-09,0.2
2016-02-02,0.2
2016-05-03,0.2
2016-08-02,0.2
2016-11-15,0.25
2017-02-07,0.25
2017-05-09,0.25
2017-08-08,0.25
2017-11-15,0.3
2018-02-07,0.3
2018-05-09,0.3
2018-08-08,0.36
2018-11-14,0.36
2019-02-06,0.36
2019-05-08,0.36
2019-08-07,0.36
2019-11-12,0.41
2020-02-05,0.41
2020-05-07,0.41
